ID,Sexo,Idade,CartaodeCredito,ChequeEspecial,Renda,LimiteCartaodeCredito,LimiteChequeEspecial,Devedor,SaldoDevedor
64,0,34,0,0,3494.44,0,0,1,0
65,1,29,0,1,3460.23,0,3460.23,0,0
66,0,26,0,0,2513.6,0,0,1,0
67,1,25,0,1,2870.49,0,2870.49,0,0
68,1,31,0,0,2958.75,0,0,0,0
69,1,29,0,1,2832.92,0,2832.92,0,0
70,0,37,0,0,3578.97,0,0,0,0
71,1,32,1,1,3292.13,4938.19,3292.13,0,0
72,0,28,1,0,2930.63,4395.94,0,0,0
73,1,25,1,1,2536.29,3804.44,2536.29,1,20515.35
74,0,27,1,0,2861.82,4292.73,0,0,0
75,0,31,1,0,2857.6,4286.4,0,1,16249.96
76,0,28,1,0,2733.11,4099.67,0,0,0
77,0,32,0,1,3408.68,0,3408.68,1,11108.34
78,0,28,0,1,3090.66,0,3090.66,0,0
79,0,29,1,0,2998.12,4497.18,0,0,0
80,0,27,1,0,2891.54,4337.3,0,0,0
81,0,37,1,1,4010.82,6016.23,4010.82,1,31821.96
82,0,31,1,1,3288.89,4933.33,3288.89,0,0
83,0,30,0,0,2932.88,0,0,1,0
84,1,23,0,1,2262.2,0,2262.2,0,0
85,0,32,0,0,3399.04,0,0,0,0
86,0,25,1,0,2386.15,3579.23,0,0,0
87,1,26,1,0,2565.68,3848.53,0,0,0
88,1,33,0,1,3269.7,0,3269.7,1,12184.23
89,1,28,1,1,2355.69,3533.54,2355.69,0,0
90,0,23,0,1,2376.86,0,2376.86,0,0
91,0,37,0,0,3910.9,0,0,1,0
92,0,20,0,0,1987.78,0,0,0,0
93,0,32,0,1,3774.1,0,3774.1,1,12031.65
94,0,34,0,0,3340.23,0,0,0,0
95,0,27,0,1,2856.28,0,2856.28,0,0
96,0,31,1,0,3265.11,4897.66,0,1,18611.3
97,1,31,1,1,3343.25,5014.88,3343.25,0,0
98,0,34,0,0,3542.02,0,0,0,0
99,0,31,1,0,3040.7,4561.05,0,0,0
100,0,29,1,0,3063.37,4595.06,0,0,0
101,0,33,1,0,3383.66,5075.49,0,1,12132
102,0,33,0,0,3380.36,0,0,0,0
103,0,26,1,0,2787.09,4180.64,0,1,12718.98
104,1,24,1,1,2585.46,3878.18,2585.46,1,20979.59
105,0,30,0,1,2997.44,0,2997.44,0,0
106,1,28,0,1,2691.06,0,2691.06,1,7439.24
107,1,26,1,0,2945.34,4418.01,0,0,0
108,0,30,0,1,3015.9,0,3015.9,0,0
109,0,24,0,0,2309.7,0,0,1,0
110,0,30,1,1,2716.13,4074.19,2716.13,1,25995.47
111,1,27,0,1,2772.9,0,2772.9,0,0
112,0,33,0,1,3427.76,0,3427.76,0,0
113,0,39,0,0,3456.16,0,0,0,0
114,1,26,0,0,2249.43,0,0,0,0
115,1,34,0,1,3462.63,0,3462.63,0,0
116,0,33,0,0,3029.76,0,0,0,0
117,0,29,0,0,3291.1,0,0,1,0
118,1,28,1,0,2489.98,3734.98,0,0,0
119,0,36,0,0,3042.39,0,0,0,0
120,0,21,0,0,2085.33,0,0,0,0
121,0,27,0,0,2826.36,0,0,0,0
122,0,24,1,0,2437.65,3656.48,0,1,12396.46
123,0,35,1,0,3457.7,5186.55,0,0,0
124,0,29,0,0,3009.85,0,0,1,0
125,0,27,1,0,2492.54,3738.8,0,0,0
126,1,42,0,0,4295.34,0,0,0,0
127,0,29,0,0,2658.23,0,0,0,0
128,0,28,0,0,2574.77,0,0,1,0
129,0,31,0,0,3133.08,0,0,0,0
130,0,23,0,0,2394.64,0,0,0,0
131,0,31,0,0,2830.57,0,0,0,0
132,1,29,0,1,2450.22,0,2450.22,0,0
133,0,31,0,0,2781.83,0,0,0,0
134,1,26,1,1,2079.95,3119.92,2079.95,0,0
135,0,25,0,0,2532.25,0,0,1,0
136,0,27,0,0,2857.89,0,0,0,0
137,1,26,1,0,3068.5,4602.75,0,0,0
138,1,35,1,1,3186.85,4780.27,3186.85,0,0
139,1,36,1,1,3429.89,5144.83,3429.89,1,14736.94
140,0,29,0,0,2868.53,0,0,0,0
141,0,28,0,0,2866.52,0,0,0,0
142,0,28,0,0,2576.46,0,0,0,0
143,0,30,1,0,3278.8,4918.2,0,0,0
144,0,30,0,0,2886.09,0,0,0,0
145,1,31,1,1,3405.4,5108.1,3405.4,0,0
146,0,27,1,0,2260.11,3390.17,0,0,0
147,0,26,0,0,2557.82,0,0,0,0
148,0,34,0,0,3517.56,0,0,0,0
149,0,27,0,0,2567.11,0,0,0,0
150,1,31,0,0,2951.61,0,0,0,0
151,1,29,1,1,2715.06,4072.59,2715.06,1,10687.48
152,0,26,0,0,2626.89,0,0,1,0
153,0,32,0,0,3603.94,0,0,0,0
154,0,30,0,0,2692.71,0,0,0,0
155,0,35,0,0,3465.35,0,0,0,0
156,0,30,0,0,2855.23,0,0,0,0
157,0,28,1,0,3195.7,4793.55,0,0,0
158,0,31,0,0,3697.6,0,0,0,0
159,0,25,0,0,2625.18,0,0,0,0
160,0,26,1,0,2617.24,3925.86,0,0,0
161,0,32,1,0,3637.2,5455.8,0,0,0
162,0,28,0,0,2670.75,0,0,0,0
163,0,29,1,0,2883.52,4325.28,0,0,0
164,0,29,0,0,3204.57,0,0,0,0
165,0,27,0,0,2728.54,0,0,0,0
166,0,21,0,0,2000.16,0,0,0,0
167,1,31,1,1,3157.35,4736.02,3157.35,1,25906.11
168,0,33,0,0,3152.28,0,0,0,0
169,0,24,0,1,2848.78,0,2848.78,0,0
170,0,35,0,0,3365.87,0,0,0,0
171,0,31,0,1,3391.64,0,3391.64,0,0
172,0,35,0,0,3500.4,0,0,0,0
173,1,26,1,1,2945.89,4418.84,2945.89,0,0
174,1,30,0,1,3279.22,0,3279.22,0,0
175,0,29,0,0,2711.86,0,0,0,0
176,0,33,0,1,3393.08,0,3393.08,1,12064.61
177,0,27,0,1,2660.63,0,2660.63,0,0
178,0,29,1,0,3045.81,4568.71,0,0,0
179,1,22,0,1,2189.8,0,2189.8,1,7584.27
180,0,26,1,0,2722.29,4083.43,0,0,0
181,1,30,0,0,2964.91,0,0,0,0
182,0,27,1,0,2958.02,4437.04,0,1,15509.02
183,1,29,0,1,2990.82,0,2990.82,0,0
184,0,28,0,0,2431.56,0,0,0,0
185,0,32,0,0,3193.37,0,0,1,0
186,0,34,0,0,3285.53,0,0,1,0
187,0,26,0,0,2890.27,0,0,0,0
188,0,28,0,0,2477.53,0,0,0,0
189,1,35,0,1,2784.25,0,2784.25,1,8312.56
190,1,21,1,1,2198.21,3297.32,2198.21,0,0
191,0,28,0,1,3063.75,0,3063.75,0,0
192,0,38,0,0,3972.11,0,0,0,0
193,1,38,1,1,4314.06,6471.09,4314.06,1,31690.02
194,0,30,1,1,3270.59,4905.88,3270.59,0,0
195,1,26,1,1,2358.12,3537.18,2358.12,0,0
196,0,30,0,0,3279.16,0,0,1,0
197,0,27,1,0,2541.03,3811.55,0,0,0
198,0,35,0,0,3886.78,0,0,0,0
199,0,26,0,1,2858.15,0,2858.15,0,0
200,0,31,0,0,3084.57,0,0,0,0
201,0,32,0,0,3541.74,0,0,0,0
202,1,26,1,1,2530.35,3795.52,2530.35,0,0
203,0,33,0,0,3633.63,0,0,0,0
204,0,27,1,0,2077.26,3115.89,0,1,6979.44
205,0,32,0,0,2863.55,0,0,0,0
206,1,34,0,1,3450.17,0,3450.17,0,0
207,0,26,0,0,2467.23,0,0,0,0
208,0,34,1,0,2492.89,3739.34,0,1,8894.52
209,0,28,0,0,2566.14,0,0,1,0
210,0,31,1,0,3600.33,5400.49,0,0,0
211,0,30,1,0,2637.37,3956.05,0,0,0
212,0,28,0,0,2846.74,0,0,0,0
213,0,31,1,0,2946.89,4420.34,0,1,12415.49
214,0,25,1,1,2504.58,3756.87,2504.58,0,0
215,0,29,1,0,2848.56,4272.85,0,0,0
216,1,33,1,1,3255.15,4882.72,3255.15,1,26329.21
217,0,21,1,1,2074.27,3111.41,2074.27,0,0
218,0,24,1,0,1877.52,2816.28,0,0,0
219,1,25,0,1,2500.14,0,2500.14,0,0
220,1,23,0,1,2329.52,0,2329.52,0,0
221,0,31,0,0,3227.82,0,0,0,0
222,1,26,0,1,2955.48,0,2955.48,1,8108.3
223,1,21,1,0,2107.72,3161.58,0,0,0
224,0,27,0,1,2773.11,0,2773.11,0,0
225,0,28,0,0,2400.26,0,0,0,0
226,0,33,0,0,3332.86,0,0,0,0
227,0,25,1,1,2111.14,3166.71,2111.14,0,0
228,0,34,0,0,4079.49,0,0,1,0
229,0,31,0,1,2989.32,0,2989.32,1,13981.46
230,1,31,0,1,3209.17,0,3209.17,0,0
231,0,26,0,0,2714.75,0,0,1,0
232,0,37,1,1,3216.23,4824.34,3216.23,0,0
233,0,29,0,1,3035.4,0,3035.4,0,0
234,0,22,0,0,1963.96,0,0,0,0
235,0,29,0,0,3032.97,0,0,0,0
236,0,22,0,0,2063.86,0,0,0,0
237,0,28,0,0,2609.62,0,0,0,0
238,1,28,1,1,2915.98,4373.97,2915.98,0,0
239,0,32,1,0,3317.26,4975.89,0,0,0
240,1,34,1,1,3315.37,4973.06,3315.37,0,0
241,0,27,0,0,2501.19,0,0,0,0
242,0,33,0,0,3364.02,0,0,0,0
243,0,35,0,1,3482.94,0,3482.94,0,0
244,0,26,0,0,2849.47,0,0,0,0
245,0,27,0,1,2529.34,0,2529.34,0,0
246,1,32,0,1,3160.62,0,3160.62,1,11330.08
247,0,30,1,0,3681.23,5521.85,0,0,0
248,1,32,0,1,2789.15,0,2789.15,0,0
249,1,35,1,1,3611.04,5416.56,3611.04,1,22698.43
250,1,31,0,1,3227.3,0,3227.3,1,8755.96
251,0,34,1,1,3247.38,4871.07,3247.38,0,0
252,0,32,0,0,2972.9,0,0,0,0
253,0,31,1,0,2648.27,3972.4,0,0,0
254,0,31,1,0,2660.55,3990.82,0,0,0
255,0,35,0,0,3407.59,0,0,0,0
256,1,25,0,1,2813.2,0,2813.2,0,0
257,0,25,1,0,2513.43,3770.14,0,0,0
258,0,32,1,0,3694.63,5541.95,0,0,0
259,0,29,0,0,2725.35,0,0,0,0
260,1,30,1,1,3173.58,4760.37,3173.58,0,0
261,1,32,1,1,3239.81,4859.71,3239.81,0,0
262,1,33,0,1,3419.67,0,3419.67,0,0
263,0,28,1,0,2857.51,4286.27,0,0,0
264,1,28,1,0,3017.76,4526.65,0,0,0
265,0,30,0,0,2997.68,0,0,0,0
266,0,34,0,0,3729.29,0,0,0,0
267,0,31,1,0,3251.96,4877.94,0,0,0
268,0,35,0,1,3496.66,0,3496.66,0,0
269,0,29,0,1,2867.29,0,2867.29,1,10048.34
270,0,34,0,0,2965.93,0,0,0,0
271,1,33,1,0,3085.96,4628.94,0,0,0
272,0,32,0,1,3115.74,0,3115.74,0,0
273,0,31,0,0,3390.05,0,0,0,0
274,0,28,0,0,3021.57,0,0,0,0
275,1,29,1,0,2666.18,3999.27,0,1,12937.6
276,1,30,1,1,2857.1,4285.65,2857.1,0,0
277,1,30,0,0,3521.14,0,0,1,0
278,0,33,0,0,2833.87,0,0,0,0
279,0,29,0,0,2952.01,0,0,0,0
280,0,29,0,0,2980.52,0,0,0,0
281,1,28,1,1,2659.52,3989.28,2659.52,0,0
282,0,29,0,0,2501.98,0,0,1,0
283,0,29,0,0,2785.88,0,0,1,0
284,0,20,0,0,2537.7,0,0,0,0
285,0,24,0,0,2373.66,0,0,0,0
286,0,29,1,0,2835.29,4252.94,0,0,0
287,0,28,1,1,2850.22,4275.33,2850.22,0,0
288,0,25,1,0,2207.8,3311.69,0,1,9403.63
289,0,22,1,0,2365.26,3547.89,0,0,0
290,0,28,0,0,3001.43,0,0,0,0
291,0,32,0,0,3088.59,0,0,0,0
292,0,37,0,0,3721.95,0,0,1,0
293,0,29,0,0,2753.54,0,0,0,0
294,1,35,0,1,3741.46,0,3741.46,0,0
295,1,30,0,1,2502.37,0,2502.37,0,0
296,1,30,0,1,2933.32,0,2933.32,0,0
297,1,31,1,1,3293.26,4939.89,3293.26,1,26987.47
298,0,26,0,0,3038.71,0,0,0,0
299,0,29,1,0,2636.53,3954.8,0,0,0
300,1,33,1,1,2930.85,4396.28,2930.85,0,0
301,1,27,1,1,2670.78,4006.17,2670.78,0,0
302,0,28,1,0,2783.89,4175.84,0,0,0
303,1,25,0,0,2689.51,0,0,0,0
304,1,31,1,0,3064.54,4596.81,0,0,0
305,0,31,0,0,2922.05,0,0,0,0
306,0,32,0,0,3804.78,0,0,0,0
307,0,25,1,0,2417.71,3626.57,0,0,0
308,0,30,1,0,3264.26,4896.4,0,1,16518.27
309,0,26,1,1,2793.55,4190.32,2793.55,1,28508.3
310,0,29,1,1,2772.47,4158.71,2772.47,1,16194.57
311,0,35,0,1,4081.85,0,4081.85,0,0
312,0,27,0,0,2387.93,0,0,0,0
313,1,32,1,1,2899.92,4349.89,2899.92,1,20471.16
314,0,27,1,0,3015.12,4522.68,0,0,0
315,0,28,0,0,2363.91,0,0,0,0
316,1,31,0,1,3297.58,0,3297.58,0,0
317,1,27,1,1,2753.31,4129.97,2753.31,0,0
318,0,23,0,1,2470.08,0,2470.08,0,0
319,0,35,0,1,3773.5,0,3773.5,0,0
320,1,31,0,1,2893.68,0,2893.68,0,0
321,1,27,1,1,2515.21,3772.81,2515.21,0,0
322,0,22,0,0,2379.15,0,0,0,0
323,0,37,0,0,4028.7,0,0,0,0
324,1,43,0,0,3821.12,0,0,0,0
325,0,30,0,1,2630.43,0,2630.43,0,0
326,0,33,1,1,2945.36,4418.04,2945.36,1,27281.64
327,1,34,0,1,3394.98,0,3394.98,0,0
328,0,27,0,0,2694.31,0,0,0,0
329,0,28,1,1,3451.73,5177.59,3451.73,1,22200.35
330,1,23,1,0,2423.64,3635.46,0,1,10706.83
331,0,27,1,0,2659.25,3988.87,0,0,0
332,0,32,0,0,3031.06,0,0,0,0
333,1,28,0,1,2650.18,0,2650.18,1,6328.48
334,1,29,0,1,2720.24,0,2720.24,0,0
335,0,29,1,0,2582.7,3874.05,0,0,0
336,0,22,0,0,2238.45,0,0,1,0
337,0,33,1,0,2247.57,3371.35,0,0,0
338,0,24,0,0,2119.33,0,0,0,0
339,0,29,1,0,3187.55,4781.33,0,0,0
340,1,28,1,1,2841.78,4262.66,2841.78,0,0
341,0,29,0,0,3060.84,0,0,1,0
342,0,35,1,0,3293.61,4940.41,0,0,0
343,0,27,1,0,3080.58,4620.87,0,0,0
344,0,26,1,0,2522.66,3784,0,0,0
345,0,23,1,0,2435.09,3652.64,0,1,10232.77
346,0,26,1,0,2603.56,3905.33,0,0,0
347,1,25,0,1,2619.77,0,2619.77,0,0
348,0,31,0,0,2963.15,0,0,0,0
349,0,26,1,0,2923.44,4385.16,0,1,8638.16
350,0,31,1,1,2939.53,4409.3,2939.53,0,0
351,0,29,1,1,3729.38,5594.07,3729.38,0,0
352,1,24,0,1,2361.19,0,2361.19,0,0
353,0,26,1,1,2632.79,3949.19,2632.79,0,0
354,0,33,0,1,3095.35,0,3095.35,1,7962.06
355,0,33,0,0,3541.9,0,0,1,0
356,1,38,1,1,3871.77,5807.66,3871.77,0,0
357,0,29,0,1,3084.25,0,3084.25,0,0
358,0,24,0,1,2571.16,0,2571.16,0,0
359,0,26,0,0,2400.09,0,0,0,0
360,1,31,1,1,3356.02,5034.03,3356.02,0,0
361,0,37,0,0,3259.74,0,0,1,0
362,0,30,0,1,3046.01,0,3046.01,0,0
363,1,34,0,1,3710.29,0,3710.29,0,0
364,0,33,0,1,2774.82,0,2774.82,1,11746.27
365,0,25,0,0,2389.65,0,0,0,0
366,1,29,0,1,2783.14,0,2783.14,0,0
367,0,35,0,0,2778.19,0,0,0,0
368,0,33,1,1,3233.15,4849.73,3233.15,0,0
369,0,31,1,0,3536.35,5304.53,0,0,0
370,0,31,0,0,2663.71,0,0,1,0
371,0,28,1,0,2492.15,3738.23,0,0,0
372,0,24,0,0,2305.66,0,0,1,0
373,1,35,1,1,3479.19,5218.78,3479.19,0,0
374,0,24,1,0,2425.18,3637.77,0,1,12884.15
375,0,26,0,0,2649.14,0,0,0,0
376,1,32,1,1,3110.98,4666.46,3110.98,0,0
377,1,24,0,1,2966.21,0,2966.21,0,0
378,0,27,1,0,2579.14,3868.71,0,0,0
379,0,25,1,0,2166.16,3249.24,0,0,0
380,1,32,0,1,2699.27,0,2699.27,0,0
381,0,31,1,0,3038.16,4557.24,0,0,0
382,1,31,1,1,2932.7,4399.05,2932.7,0,0
383,0,31,0,0,3425.37,0,0,1,0
384,1,32,1,1,3140.1,4710.15,3140.1,0,0
385,0,32,0,0,3225.34,0,0,1,0
386,1,22,0,0,1844.12,0,0,0,0
387,0,29,1,0,2830.42,4245.63,0,1,18750.12
388,0,30,0,0,2918.43,0,0,1,0
389,0,32,0,0,2751.03,0,0,0,0
390,0,25,1,1,2271.76,3407.64,2271.76,1,18665.3
391,1,28,1,0,2555.51,3833.26,0,0,0
392,0,25,0,1,2706.8,0,2706.8,0,0
393,1,34,0,1,3589.73,0,3589.73,0,0
394,1,35,0,1,3743.05,0,3743.05,0,0
395,0,33,0,0,3763.92,0,0,1,0
396,0,25,0,0,2419.65,0,0,1,0
397,0,31,0,0,3466.75,0,0,0,0
398,0,34,1,0,3309.65,4964.48,0,0,0
399,0,30,1,0,3346.85,5020.28,0,0,0
400,1,27,1,0,2361.68,3542.52,0,0,0
401,1,25,1,1,2348.95,3523.42,2348.95,1,19464.62
402,0,27,1,1,2946.62,4419.93,2946.62,0,0
403,1,32,1,1,3730.39,5595.58,3730.39,0,0
404,0,28,0,0,2789.11,0,0,0,0
405,0,30,1,1,2900.61,4350.92,2900.61,0,0
406,0,35,0,0,3719.12,0,0,1,0
407,1,32,1,1,3161.39,4742.09,3161.39,0,0
408,0,35,0,0,3504.77,0,0,0,0
409,0,23,0,0,2358.01,0,0,0,0
410,0,28,1,0,3105.06,4657.59,0,0,0
411,0,30,1,0,2680.33,4020.5,0,0,0
412,1,32,1,1,3058.8,4588.2,3058.8,0,0
413,0,25,1,0,2650.08,3975.12,0,0,0
414,0,33,0,0,2592.56,0,0,1,0
415,0,31,0,0,3501.59,0,0,0,0
416,0,31,0,1,2898.93,0,2898.93,0,0
417,1,32,1,1,2865.8,4298.71,2865.8,0,0
418,0,29,0,0,2948.6,0,0,0,0
419,0,33,1,0,4037.15,6055.72,0,0,0
420,0,32,1,0,2984.87,4477.3,0,0,0
421,0,29,1,0,2466.56,3699.84,0,0,0
422,0,34,0,0,3354.73,0,0,0,0
423,0,31,1,0,3462.77,5194.16,0,1,24524.72
424,0,32,1,0,3111.32,4666.99,0,0,0
425,1,27,1,1,2861.93,4292.89,2861.93,0,0
426,0,36,1,0,4016.38,6024.57,0,1,15034.75
427,0,29,0,0,2402.99,0,0,0,0
428,0,33,0,0,3498.02,0,0,1,0
429,0,29,0,0,2750.05,0,0,0,0
430,1,28,0,1,2783.31,0,2783.31,0,0
431,1,33,0,1,4040.85,0,4040.85,0,0
432,0,23,1,0,2358.02,3537.03,0,0,0
433,0,31,0,0,3351.34,0,0,0,0
434,1,31,0,0,2793.21,0,0,1,0
435,0,19,0,0,1981.73,0,0,0,0
436,0,31,0,1,3061.69,0,3061.69,0,0
437,0,21,0,0,2051.29,0,0,0,0
438,0,32,1,0,3378.54,5067.81,0,0,0
439,0,28,0,1,2378.8,0,2378.8,0,0
440,0,27,1,0,3075.44,4613.16,0,0,0
441,0,29,0,0,3561.96,0,0,0,0
442,0,35,0,0,3345.58,0,0,1,0
443,1,27,0,1,2840.08,0,2840.08,0,0
444,0,32,1,1,3857.24,5785.85,3857.24,0,0
445,1,31,1,1,2826.56,4239.84,2826.56,0,0
446,1,25,0,1,2511.78,0,2511.78,0,0
447,1,23,1,1,2830.99,4246.48,2830.99,0,0
448,0,22,1,1,1996.44,2994.66,1996.44,1,14119.81
449,0,32,0,0,3505.75,0,0,1,0
450,0,29,0,0,3037.32,0,0,0,0
451,0,37,1,0,3565.64,5348.46,0,1,17258.77
452,0,32,1,0,3315.79,4973.69,0,0,0
453,0,33,1,0,3190.38,4785.56,0,0,0
454,0,35,0,0,3766.13,0,0,0,0
455,0,27,1,0,2562.42,3843.62,0,1,6813.21
456,1,32,1,1,2637.71,3956.57,2637.71,0,0
457,1,33,0,1,3568.36,0,3568.36,0,0
458,1,35,0,0,3896.31,0,0,0,0
459,0,33,0,1,3336.81,0,3336.81,1,7003.17
460,0,31,1,1,2842.66,4263.99,2842.66,1,21450.08
461,1,26,0,1,2474.53,0,2474.53,1,4336.42
462,0,32,1,0,2778.5,4167.75,0,0,0
463,0,32,0,0,2756.04,0,0,1,0
464,0,32,1,0,3562.37,5343.55,0,1,18698.79
465,0,31,0,1,2461.86,0,2461.86,1,6878.59
466,0,29,1,1,3062.02,4593.03,3062.02,0,0
467,0,29,0,0,2788.59,0,0,1,0
468,0,32,0,0,2775.79,0,0,0,0
469,0,30,1,0,2930.25,4395.37,0,0,0
470,1,26,1,1,2550.85,3826.27,2550.85,1,15912.63
471,0,28,0,0,3136.64,0,0,0,0
472,1,24,1,1,2975.72,4463.58,2975.72,0,0
473,0,26,0,0,3073.96,0,0,1,0
474,1,29,0,1,3371.83,0,3371.83,0,0
475,0,22,0,0,2555.49,0,0,1,0
476,0,23,0,0,2513.61,0,0,0,0
477,0,34,1,0,3245.46,4868.2,0,1,16187.74
478,0,27,0,0,2746.22,0,0,1,0
479,0,22,0,0,1863.27,0,0,0,0
480,1,29,0,1,2674.43,0,2674.43,1,9479.06
481,0,35,0,0,3194.44,0,0,1,0
482,1,32,1,1,2851.15,4276.72,2851.15,0,0
483,0,31,0,0,3537.92,0,0,0,0
484,0,34,1,0,3570.02,5355.02,0,1,14025.67
485,1,26,1,1,2668.77,4003.16,2668.77,0,0
486,0,32,1,0,3196.38,4794.56,0,0,0
487,0,27,0,0,2966.2,0,0,1,0
488,0,30,0,0,3265.39,0,0,0,0
489,0,38,1,1,3456.15,5184.23,3456.15,0,0
490,1,33,1,1,2638.74,3958.11,2638.74,0,0
491,1,33,1,0,2911.1,4366.66,0,0,0
492,0,25,0,0,2376.28,0,0,0,0
493,0,26,1,0,2599.16,3898.74,0,0,0
494,1,39,0,0,4486.33,0,0,0,0
495,0,25,0,0,2658.69,0,0,1,0
496,1,30,1,1,3205.63,4808.45,3205.63,0,0
497,0,33,0,0,3567.46,0,0,0,0
498,0,34,0,0,3355.66,0,0,0,0
499,0,34,0,0,3034.81,0,0,0,0
500,1,29,0,1,2639.71,0,2639.71,0,0
501,0,26,1,0,2247.12,3370.68,0,1,10663.44
502,0,28,0,1,2438.04,0,2438.04,0,0
503,0,26,0,1,2205.53,0,2205.53,0,0
504,0,32,0,0,3474.94,0,0,0,0
505,0,34,1,0,2987.03,4480.55,0,1,13828.89
506,0,38,0,1,4035.24,0,4035.24,0,0
507,0,31,1,1,3827.07,5740.6,3827.07,1,28919.72
508,0,26,0,0,2548.51,0,0,0,0
509,1,34,1,0,3337.44,5006.16,0,0,0
510,0,33,1,1,3576.78,5365.18,3576.78,1,27478.4
511,0,29,0,0,2895.79,0,0,0,0
512,0,23,0,0,2124.32,0,0,1,0
513,1,33,1,0,2831.55,4247.33,0,0,0
514,0,34,0,0,3431.73,0,0,1,0
515,1,28,1,1,2680.4,4020.6,2680.4,0,0
516,0,32,1,0,3325.56,4988.34,0,0,0
517,0,28,1,0,2878.96,4318.45,0,1,13965.07
518,1,32,0,1,3615.37,0,3615.37,0,0
519,0,29,0,0,3074.06,0,0,1,0
520,1,28,1,0,3118.2,4677.29,0,0,0
521,0,30,0,0,3020.9,0,0,0,0
522,0,28,1,0,3028.46,4542.69,0,0,0
523,0,27,0,0,2633.23,0,0,0,0
524,0,28,1,0,2756.98,4135.47,0,1,15239.19
525,0,29,0,0,2921.66,0,0,1,0
526,0,30,0,0,2666.92,0,0,0,0
527,1,36,1,1,3165.99,4748.98,3165.99,0,0
528,0,24,0,0,2330.24,0,0,0,0
529,1,29,1,1,2493.52,3740.28,2493.52,0,0
530,0,32,1,0,3230.62,4845.93,0,0,0
531,1,37,0,1,3995.38,0,3995.38,0,0
532,0,31,0,0,2826.44,0,0,0,0
533,0,29,1,0,2915.08,4372.62,0,0,0
534,1,28,1,0,2368.52,3552.79,0,0,0
535,0,31,1,0,3389.81,5084.72,0,0,0
536,1,33,1,1,3182.13,4773.2,3182.13,0,0
